"ciudad","fecha","pp","ant_log","ant_op","prob","prob_corte","evento_log","Iop","umbral_op","evento_op"
"15618",2026-09-02,3.5,2.3,2.3,0.006,0.005,1,5.8,2.5,1
"15619",2026-09-02,2.5,1.6,1.6,0.005,0.005,0,4.2,3.6,1
"15620",2026-09-02,2.3,1.5,1.5,0.005,0.006,0,3.8,4.2,0
"15621",2026-09-02,2.7,1.8,1.8,0.007,0.008,0,4.5,4.9,0
"15622",2026-09-02,3.7,2.6,2.6,0.007,0.008,0,6.3,5.7,1
"15623",2026-09-02,4.7,3.3,3.3,0.007,0.006,1,8,4.3,1
"15624",2026-09-02,4.7,3.3,3.3,0.006,0.005,1,7.9,2.9,1
"15625",2026-09-02,3.8,2.7,2.7,0.006,0.005,1,6.5,1.8,1
"15679",2026-09-02,1.5,1.5,8.3,0.002,0.002,1,9.8,6.6,1
"15683",2026-09-02,1,2.3,25.4,0.002,0.033,0,26.4,410.4,0
"15684",2026-09-02,1.1,1.1,30.2,0.002,0.385,0,31.3,407.3,0
"15685",2026-09-02,1.3,1.2,34.2,0.003,0.132,0,35.5,9,1
"15688",2026-09-02,0.3,5.9,1,0.001,0,1,1.3,116.7,0
"15689",2026-09-02,0.1,3,1.5,0.001,0.033,0,1.6,71.3,0
"15691",2026-09-02,0.1,0.1,0.1,0,0.022,0,0.2,30.9,0
"15692",2026-09-02,0.1,0.1,0.9,0.004,0.011,0,0.9,122,0
"15693",2026-09-02,0.1,0.1,0.1,0.003,0.008,0,0.2,37.1,0
"15694",2026-09-02,0.1,0.1,0.2,0.002,0.055,0,0.2,49.5,0
"15695",2026-09-02,0,0,0,0.002,0.023,0,0.1,17.9,0
"15698",2026-09-02,0,0,0,0,0.003,0,0,16.6,0
"15699",2026-09-02,0,0,4,0.001,0.017,0,4.1,7.6,0
"15812",2026-09-02,2.8,16.4,29.7,0.003,0.003,1,32.5,3.6,1
"15813",2026-09-02,4,11,25.3,0.003,0.13,0,29.3,1.4,1
"15814",2026-09-02,4.7,60.2,39.9,0.003,0.003,1,44.5,4.7,1
"15830",2026-09-02,2.5,1.7,1.7,0.006,0.006,0,4.2,5.1,0
"15831",2026-09-02,2.7,1.9,1.9,0.008,0.009,0,4.6,5.4,0
"15832",2026-09-02,3.2,2.3,2.3,0.008,0.009,0,5.5,5.6,0
"15833",2026-09-02,4.1,2.9,2.9,0.006,0.007,0,7,5.3,1
"15893",2026-09-02,1.7,1.7,25.8,0.002,0.024,0,27.5,381.4,0
